,lat
782,57.31
783,63.86
784,-71.2
785,-30.6
786,-169.92
787,-19.06
788,108.21
789,-7.38
790,136.06
791,35.65
792,13.16
793,11.85
794,-65.71
795,66.15
796,-39.27
797,-3.28
798,114.01
799,4.41
800,36.23
801,7.28
802,8.78
803,-0.72
804,20.87
805,-0.22
806,-4.83
807,39.96
808,-15.75
809,13.35
810,-78.87
811,38.45
812,-46.26
813,-23.99
814,43.98
815,26.33
816,5.47
817,10.4
818,51.53
819,25.29
820,118.97
821,-3.54
822,72.64
823,10.57
824,125.51
825,12.18
826,8.57
827,50.17
828,111.98
829,49.58
830,-77.05
831,42.14
832,20.0
833,43.27
834,12.59
835,37.66
836,-156.47
837,20.79
838,27.73
839,64.23
840,122.67
841,11.0
842,-46.03
843,60.72
844,-64.54
845,46.22
846,-2.24
847,4.87
848,8.59
849,59.88
850,88.07
851,26.89
852,57.76
853,-20.21
854,74.49
855,65.85
856,98.78
857,1.74
858,108.98
859,53.45
860,33.04
861,66.08
862,-105.28
863,55.1
864,-3.98
865,22.68
866,27.86
867,-26.27
868,80.22
869,6.04
870,2.6
871,6.5
872,41.91
873,34.48
874,-157.84
875,21.44
876,58.36
877,29.11
878,21.55
879,29.03
880,73.1
881,51.62
882,35.23
883,54.74
884,76.6
885,8.88
886,29.89
887,56.98
888,143.3
889,59.38
890,-90.4
891,20.87
892,41.87
893,3.94
894,-25.43
895,37.72
896,140.3
897,35.13
898,167.55
899,-13.88
900,17.6
901,68.38
902,134.26
903,7.04
904,-75.83
905,42.25
906,102.82
907,24.19
908,152.43
909,-3.67
910,104.08
911,-1.27
912,-75.98
913,36.85
914,142.15
915,-34.2
916,44.28
917,-20.28
918,57.59
919,51.41
920,57.08
921,30.28
922,152.15
923,-32.72
924,20.95
925,64.75
926,132.22
927,35.0
928,141.3
929,-2.67
930,-25.58
931,37.8
932,27.85
933,71.04
934,81.48
935,6.8
936,147.87
937,-6.6
938,81.82
939,7.42
940,-52.33
941,4.93
942,31.58
943,-16.77
944,-10.8
945,6.3
946,104.08
947,49.03
948,-17.34
949,66.04
950,-46.11
951,-15.92
952,166.44
953,68.05
954,88.12
955,47.87
956,28.0
957,7.7
958,-81.72
959,43.75
960,25.95
961,-2.95
962,25.73
963,60.8
964,-105.57
965,36.41
966,153.43
967,-28.0
968,78.94
969,52.57
970,27.43
971,66.71
972,-35.22
973,-9.01
974,-99.89
975,16.86
976,49.18
977,11.28
978,-13.05
979,20.52
980,-77.61
981,-11.1
982,102.17
983,38.5
984,107.03
985,33.07
986,-52.9
987,65.42
988,-179.17
989,66.32
990,-44.37
991,-16.69
992,47.43
993,-21.88
994,41.68
995,39.98
996,128.73
997,-15.77
998,-1.76
999,4.88
1000,34.47
1001,31.5
1002,54.37
1003,31.9
1004,-72.22
1005,7.77
1006,112.38
1007,24.78
1008,-113.53
1009,31.32
1010,57.66
1011,-20.01
1012,-63.02
1013,-7.51
1014,38.69
1015,50.63
1016,97.03
1017,20.78
1018,-70.03
1019,12.52
1020,65.81
1021,66.8
1022,130.99
1023,-25.24
1024,97.52
1025,50.6
1026,110.1
1027,55.94
1028,43.28
1029,-11.38
1030,12.78
1031,26.59
1032,42.96
1033,41.96
1034,52.15
1035,65.44
1036,105.9
1037,18.33
1038,-50.57
1039,-14.74
1040,-63.86
1041,11.03
1042,135.87
1043,-34.73
1044,122.53
1045,-4.94
1046,48.53
1047,5.35
1048,27.42
1049,-7.3
1050,-2.95
1051,15.0
1052,20.23
1053,67.86
1054,-20.27
1055,63.44
1056,-60.15
1057,-12.74
1058,27.27
1059,61.69
1060,-91.62
1061,48.76
1062,-47.36
1063,-0.61
1064,20.39
1065,-9.66
1066,-111.79
1067,43.83
1068,-103.68
1069,18.73
1070,92.07
1071,49.98
1072,127.76
1073,26.18
1074,-76.9
1075,34.88
1076,112.21
1077,-6.88
1078,87.76
1079,69.35
1080,12.48
1081,9.2
1082,73.07
1083,5.1
1084,18.12
1085,-19.57
1086,83.42
1087,18.12
1088,10.9
1089,5.73
1090,-74.85
1091,49.78
1092,-114.47
1093,51.18
1094,44.29
1095,40.07
1096,40.29
1097,53.25
1098,-34.86
1099,-8.01
1100,156.12
1101,50.68
1102,9.33
1103,40.32
1104,-43.16
1105,-14.27
1106,50.28
1107,-14.9
1108,13.66
1109,-8.58
1110,125.37
1111,41.26
1112,30.42
1113,31.4
1114,24.7
1115,62.27
1116,16.59
1117,31.21
1118,10.07
1119,6.38
1120,-96.78
1121,20.22
1122,124.39
1123,13.78
1124,-54.13
1125,-26.62
1126,-106.54
1127,34.8
1128,-79.3
1129,25.72
1130,49.68
1131,51.18
