,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Saurimo,-9.66,20.39,61.0,32,80,4.36,AO,1597118976
174,Joura,26.34,77.81,82.4,100,75,4.7,IN,1597118977
175,Sumter,28.71,-82.08,78.01,89,29,3.33,US,1597118848
176,Aitape,-3.14,142.35,85.66,72,16,7.74,PG,1597118978
177,Sur,22.57,59.53,83.23,73,100,8.43,OM,1597118979
178,Banihāl,33.42,75.2,74.71,67,40,3.02,IN,1597118980
179,Mamu Kanjan,30.83,72.8,99.9,42,25,6.33,PK,1597118981
180,Arraial do Cabo,-22.97,-42.03,71.19,83,0,26.24,BR,1597118802
181,Hasaki,35.73,140.83,99.0,53,20,12.75,JP,1597118983
182,Kwinana,-32.25,115.77,64.99,68,75,18.34,AU,1597118984
183,Wokha,26.1,94.27,69.01,100,100,1.25,IN,1597118984
184,Pangody,65.85,74.49,74.07,47,37,12.06,RU,1597118985
185,Nanortalik,60.14,-45.24,40.59,83,1,9.35,GL,1597118986
186,Vila Velha,-20.33,-40.29,69.01,88,75,2.24,BR,1597118987
187,Hvide Sande,56.0,8.13,60.01,78,2,1.01,DK,1597118988
188,Calbuco,-41.77,-73.13,39.2,93,90,4.7,CL,1597118989
189,Ambon City,-3.7,128.18,80.6,83,75,4.7,ID,1597118990
190,Champerico,14.3,-91.92,75.56,89,100,4.18,GT,1597118990
191,Filingué,14.35,3.32,77.31,82,72,9.84,NE,1597118991
192,Sobolevo,54.43,31.9,59.29,94,30,7.43,RU,1597118992
193,Cartagena,10.4,-75.51,82.02,82,100,10.83,CO,1597118993
194,Manzhouli,49.6,117.43,63.28,78,100,7.34,CN,1597118994
195,Nome,64.5,-165.41,55.0,76,1,11.41,US,1597118995
196,Taunggyi,20.78,97.03,72.19,91,86,7.07,MM,1597118995
197,Susurluk,39.91,28.16,73.4,88,20,2.86,TR,1597118996
198,Nālūt,30.33,10.85,72.34,68,0,19.48,LY,1597118997
199,Ponta do Sol,32.67,-17.1,71.6,78,40,6.93,PT,1597118998
200,Lensk,60.73,114.93,77.32,32,56,4.68,RU,1597118999
201,Nahavand,34.19,48.38,77.85,17,0,3.06,IR,1597119000
